nome_cliente,valor_inadimplencia,dias_inadimplencia,tipo_risco,regiao
Valentina Cunha,4331.54,96,Alto,Sul
Asafe da Mata,1884.29,93,Alto,Sul
Leonardo Campos,2751.29,190,Crítico,Sul
Dr. Lorenzo da Costa,747.33,28,Baixo,Centro
Maria Sophia Brito,1591.43,101,Alto,Oeste
Otto da Rocha,13444.24,306,Crítico,Leste
Mariana Peixoto,15097.08,92,Crítico,Centro
Vitor Rodrigues,1100.23,63,Médio,Oeste
Lorenzo Garcia,2694.58,189,Alto,Leste
Sophia Novais,599.64,89,Médio,Oeste
Lucca Abreu,1564.79,96,Médio,Leste
João Vitor Alves,3632.34,143,Crítico,Norte
Ayla Abreu,6282.91,257,Crítico,Oeste
Maria da Conceição,525.74,5,Baixo,Norte
Isabelly Andrade,767.58,62,Médio,Sul
Clara Fogaça,468.94,179,Baixo,Centro
Gabriela Dias,2685.31,64,Alto,Leste
João Vitor da Mata,705.37,115,Médio,Oeste
Mateus Araújo,929.45,194,Médio,Norte
Dra. Ana Clara Ribeiro,18325.96,265,Crítico,Leste
Dr. Benício Peixoto,2489.37,248,Alto,Sul
Diogo Costela,3910.51,121,Alto,Leste
Sra. Raquel Caldeira,14326.85,399,Crítico,Norte
Dra. Sofia Pastor,260.02,20,Baixo,Sul
Rodrigo da Cruz,541.23,31,Baixo,Leste
Ian Barros,542.07,28,Médio,Norte
Bento Barros,1129.92,97,Médio,Leste
Ana Sophia Rios,322.1,33,Baixo,Centro
Dr. Caio Pinto,787.19,15,Médio,Oeste
Sophie da Costa,2649.93,165,Alto,Oeste
Cecília Brito,10152.84,170,Crítico,Oeste
Dr. Nathan Leão,460.61,27,Baixo,Sul
Maria Alice Monteiro,506.77,73,Médio,Centro
Ana Lívia Freitas,877.32,85,Médio,Sul
Matheus da Paz,2283.65,78,Médio,Leste
Aylla Siqueira,1553.73,66,Alto,Centro
João Guilherme Cassiano,3978.77,45,Alto,Sul
Mathias Correia,1869.72,93,Alto,Oeste
Dr. Marcos Vinicius Pereira,2479.76,105,Alto,Sul
Oliver da Cruz,797.56,1,Baixo,Leste
Sra. Mirella Nascimento,2418.66,177,Alto,Centro
Ana Cecília Campos,1232.64,11,Médio,Norte
Sr. Ravi Lucca Fogaça,747.94,162,Baixo,Centro
Maria Vitória Rezende,1994.69,17,Alto,Oeste
Liam Castro,1830.66,103,Alto,Norte
Nina Fonseca,312.49,14,Baixo,Oeste
Noah Farias,617.05,57,Médio,Leste
João Vieira,769.7,34,Médio,Leste
Maria Clara Garcia,802.33,113,Médio,Norte
Dr. Daniel Macedo,2169.25,51,Alto,Norte
Danilo da Conceição,1567.9,46,Médio,Oeste
Emanuella Silva,1590.41,96,Alto,Centro
Anthony Pacheco,13941.53,225,Crítico,Oeste
Cecília Correia,2617.4,103,Alto,Leste
Larissa Cavalcanti,838.82,71,Médio,Norte
Samuel Almeida,4277.53,23,Crítico,Sul
Apollo Sá,929.32,54,Médio,Norte
Lucca Cavalcanti,888.22,49,Médio,Oeste
Thales Borges,1095.07,61,Médio,Leste
Luiza Barros,1101.17,37,Médio,Centro
Bruno da Rosa,6633.37,182,Crítico,Leste
Eloah Freitas,6039.71,87,Crítico,Centro
Julia Moraes,7004.44,222,Crítico,Norte
Esther da Rosa,461.04,10,Médio,Centro
Emilly Albuquerque,6315.21,408,Crítico,Sul
Vinicius Oliveira,409.02,26,Baixo,Centro
Sr. João Vitor da Cunha,1410.79,98,Alto,Norte
Dr. Bento Gonçalves,338.58,19,Baixo,Sul
Dra. Ana Liz Nascimento,11210.45,144,Crítico,Sul
João Vitor Freitas,1181.16,37,Médio,Leste
Sra. Maria Isis Pires,23145.47,473,Crítico,Sul
Maria Cecília Duarte,18232.61,378,Crítico,Leste
Otávio Castro,1649.25,266,Alto,Oeste
Antônio da Cunha,817.97,129,Alto,Sul
Thales Sousa,690.18,29,Baixo,Oeste
Sra. Isabella Gomes,11071.58,499,Crítico,Sul
Marcela Pastor,5369.9,361,Alto,Oeste
Benicio Pinto,1666.44,84,Médio,Leste
Rael Brito,528.77,5,Baixo,Oeste
João Miguel da Luz,2141.3,136,Alto,Leste
Leandro Gomes,494.81,100,Médio,Sul
Larissa Sampaio,11527.84,203,Crítico,Sul
Sr. Ravi Moraes,1305.78,74,Médio,Norte
Maria Sophia Ramos,785.07,38,Médio,Oeste
Ana Beatriz Nunes,2850.52,325,Alto,Sul
Srta. Sophie Porto,4156.17,201,Crítico,Centro
Olivia Azevedo,1909.37,51,Alto,Leste
Noah Cavalcanti,3171.3,268,Alto,Norte
Vitor Sousa,431.35,94,Médio,Sul
João Lucas Duarte,2827.11,95,Alto,Centro
Brenda Azevedo,250.7,22,Baixo,Leste
Bianca Oliveira,1690.22,35,Médio,Leste
Paulo Pereira,745.5,25,Baixo,Centro
Enzo Gabriel Silveira,1553.58,74,Médio,Centro
Cauã Nunes,4618.64,143,Crítico,Sul
Ísis da Cunha,662.8,172,Médio,Centro
Dr. João Guilherme Garcia,2260.93,151,Alto,Sul
Luana Almeida,214.89,9,Baixo,Leste
Agatha Cavalcante,7689.67,335,Crítico,Oeste
Hadassa Albuquerque,1770.07,36,Alto,Leste
Yuri da Mota,740.98,100,Médio,Sul
Yan Lima,734.92,105,Alto,Norte
Arthur da Luz,1302.75,153,Alto,Sul
Luiz Fernando das Neves,6388.78,184,Crítico,Oeste
Luiza Gomes,246.3,19,Baixo,Centro
Dr. Luan Alves,1617.6,39,Médio,Centro
Vitória Pacheco,3009.91,202,Crítico,Centro
Sr. Augusto Pimenta,1331.59,165,Médio,Oeste
Laura Macedo,14746.26,304,Crítico,Leste
Maya Vargas,6894.99,249,Crítico,Centro
Ravy Casa Grande,14940.6,289,Crítico,Sul
José Pedro Andrade,214.16,23,Baixo,Oeste
Olívia da Luz,411.83,21,Baixo,Oeste
Juan Caldeira,1848.46,212,Médio,Oeste
Lívia Duarte,1643.24,109,Alto,Oeste
Arthur Teixeira,4803.82,313,Alto,Sul
Josué Camargo,216.31,129,Baixo,Oeste
Bianca Pastor,3491.41,101,Alto,Sul
Eloah Sousa,966.18,45,Médio,Leste
Cecília da Conceição,500.53,50,Baixo,Leste
Ana Carolina Machado,3547.87,238,Crítico,Norte
João Gabriel Pinto,2974.24,180,Alto,Centro
Pietra Rezende,1503.41,60,Alto,Centro
Francisco Teixeira,1707.25,80,Alto,Centro
Guilherme Viana,885.22,26,Baixo,Leste
Sabrina Brito,6028.51,289,Crítico,Leste
Dr. Lucas Pires,602.82,116,Médio,Sul
Matheus Martins,808.93,36,Médio,Norte
Sr. Enrico das Neves,995.2,129,Alto,Norte
Arthur Gabriel Vasconcelos,1382.13,74,Alto,Sul
Maria Melo,833.73,28,Baixo,Sul
Luiz Otávio Leão,1903.5,43,Alto,Leste
André Correia,1347.77,214,Alto,Sul
Arthur Porto,317.53,28,Baixo,Norte
Matteo Pires,1293.08,99,Médio,Leste
Maria Júlia Vargas,3661.19,138,Crítico,Centro
Francisco Silva,576.6,9,Baixo,Oeste
Lorenzo Andrade,2039.53,232,Médio,Oeste
Matteo Pereira,1002.37,49,Médio,Leste
Eloah Casa Grande,420.15,28,Baixo,Sul
Elisa da Mota,1750.75,253,Médio,Oeste
Raquel Siqueira,899.94,85,Médio,Centro
Josué da Costa,2000.22,127,Alto,Oeste
Felipe Guerra,4708.42,326,Alto,Oeste
Agatha Mendonça,8522.49,346,Crítico,Leste
Yan Nunes,370.38,30,Baixo,Centro
Francisco Costela,820.27,71,Médio,Oeste
Hellena Azevedo,8263.15,163,Crítico,Oeste
Liam Nunes,4861.69,99,Alto,Norte
Levi Viana,503.55,17,Baixo,Leste
Dr. Miguel Costa,531.46,60,Baixo,Leste
Sophia Oliveira,613.74,10,Baixo,Sul
Maria Helena Castro,921.11,105,Alto,Centro
Ester Araújo,533.07,16,Médio,Norte
Ana Cecília Gonçalves,3105.51,44,Alto,Oeste
Luana Moreira,2325.5,152,Alto,Leste
Ryan Caldeira,293.86,16,Baixo,Sul
Valentina Vieira,2588.2,96,Alto,Sul
Jade Nunes,519.66,49,Baixo,Centro
Renan Lima,2787.63,146,Alto,Sul
Ana Laura Cavalcanti,266.39,8,Baixo,Leste
Ravy Albuquerque,1763.64,97,Crítico,Norte
Matheus Barros,2063.34,252,Alto,Leste
Maria Clara Correia,2229.09,120,Alto,Leste
Maysa Marques,32501.71,696,Crítico,Sul
Enzo Gabriel da Costa,572.52,144,Médio,Sul
Ian Teixeira,2799.31,109,Alto,Leste
João Guilherme Andrade,4370.95,108,Crítico,Norte
Maria Farias,4044.61,509,Alto,Sul
Dr. Luigi Siqueira,965.87,27,Alto,Norte
Cecilia da Rosa,41254.77,730,Crítico,Leste
Lorena Vasconcelos,8761.98,199,Crítico,Norte
Isaque Pimenta,726.69,173,Médio,Centro
Isabel Machado,406.73,5,Baixo,Sul
Lorena Cardoso,765.78,49,Baixo,Centro
João Pedro Lima,575.77,163,Médio,Sul
Isadora Gomes,4462.11,103,Crítico,Leste
Luana Fonseca,3868.33,38,Alto,Norte
Nathan Silva,1037.46,155,Alto,Leste
Valentim Araújo,941.54,49,Médio,Leste
Davi Miguel da Conceição,1547.23,172,Médio,Leste
Danilo da Paz,150.08,9,Baixo,Centro
Joaquim Castro,736.37,46,Baixo,Leste
Luan Melo,22058.65,414,Crítico,Centro
Alana Gomes,416.25,218,Baixo,Sul
Gustavo Martins,14161.84,302,Crítico,Leste
Anthony Rezende,575.58,64,Médio,Leste
Isadora Camargo,324.15,10,Baixo,Leste
Rael Viana,606.28,149,Médio,Sul
Julia Moraes,376.53,26,Baixo,Leste
Dra. Maria Luísa Carvalho,1557.09,169,Médio,Norte
Pedro Henrique Albuquerque,372.12,45,Médio,Leste
Dr. Ravy Novaes,743.19,70,Baixo,Leste
Luiz Gustavo Albuquerque,579.59,52,Médio,Centro
Luiz Felipe Borges,51231.59,730,Crítico,Sul
Sabrina Costela,1463.08,147,Alto,Sul
Ryan Gonçalves,8779.95,449,Crítico,Leste
Rebeca Abreu,891.48,41,Alto,Centro
Mariane Oliveira,276.14,25,Baixo,Sul
Lunna Cavalcante,337.53,5,Baixo,Oeste
Igor Freitas,9895.88,139,Crítico,Sul
Theo Rezende,1027.81,219,Médio,Centro
Milena Pimenta,359.31,24,Baixo,Centro
Srta. Mariane da Cunha,1099.45,49,Alto,Norte
Thales Freitas,765.3,25,Baixo,Leste
Elisa Sousa,3694.34,223,Alto,Centro
João Pedro Duarte,1172.74,78,Médio,Oeste
Caio Pires,18453.28,597,Crítico,Leste
Sra. Maria Laura Castro,4094.02,8,Crítico,Sul
Eduarda Silveira,1989.81,104,Crítico,Norte
Caroline Moreira,4285.64,58,Crítico,Centro
Mirella Fonseca,11795.58,399,Crítico,Sul
Lucas Pimenta,505.58,17,Baixo,Oeste
Lunna Almeida,347.56,8,Baixo,Oeste
Luiz Fernando Vargas,5048.37,206,Crítico,Oeste
Alexia Casa Grande,1032.2,345,Alto,Centro
Thales Vasconcelos,359.43,12,Baixo,Leste
Milena Macedo,670.39,23,Médio,Sul
Alexia Cirino,1403.62,145,Alto,Centro
Josué Aparecida,17999.62,353,Crítico,Sul
José Pedro Peixoto,4355.91,120,Alto,Oeste
Matheus Caldeira,1280.24,62,Médio,Sul
Laís Marques,2388.71,227,Alto,Sul
Arthur Garcia,390.33,150,Médio,Norte
Sra. Lara Melo,3940.45,298,Crítico,Norte
Joaquim Pimenta,1043.21,53,Médio,Sul
Isabelly Barbosa,698.94,72,Médio,Leste
Lunna Vieira,1429.24,153,Médio,Sul
Isabel Andrade,1213.7,354,Alto,Sul
Samuel Correia,478.58,11,Médio,Leste
Alexia Aragão,1258.34,24,Baixo,Oeste
Dr. Calebe Nascimento,738.27,29,Médio,Oeste
Maitê Souza,898.55,137,Médio,Norte
Ana Liz Rodrigues,3706.74,338,Alto,Sul
Dr. Alexandre da Mata,559.33,16,Médio,Leste
Ravi Lucca Vasconcelos,8783.25,170,Crítico,Sul
Nicolas Nunes,1586.93,18,Alto,Oeste
Sr. Ian Macedo,877.11,61,Médio,Oeste
Daniel Rodrigues,8252.34,520,Alto,Leste
Fernanda Novais,2987.0,79,Alto,Leste
Ana Beatriz Vargas,1724.33,113,Alto,Leste
Luna Cirino,820.41,32,Baixo,Leste
Clara Moura,908.16,26,Médio,Norte
Bento Monteiro,5128.04,327,Alto,Leste
Henry Gabriel Siqueira,1336.87,43,Médio,Oeste
Hadassa Lima,1445.96,32,Alto,Sul
Bernardo Freitas,371.79,69,Baixo,Leste
Dr. José Pedro da Paz,659.35,67,Baixo,Centro
Sr. João Miguel Siqueira,13998.75,414,Crítico,Oeste
Esther Gonçalves,2550.47,186,Crítico,Norte
Dr. Bernardo Martins,6381.39,200,Crítico,Centro
Lunna Aparecida,9386.52,287,Crítico,Sul
Vitor Nascimento,431.32,125,Médio,Norte
Dra. Milena Sampaio,3030.74,53,Alto,Leste
Bella Rocha,423.84,8,Médio,Norte
Stephany Sá,1916.1,117,Alto,Centro
Carolina Lopes,37003.15,701,Crítico,Sul
Emanuel Mendes,8072.01,314,Crítico,Sul
Thomas Rios,829.96,16,Médio,Sul
Ana Beatriz Fernandes,2959.36,151,Alto,Leste
Ana Cecília Dias,2030.14,132,Alto,Oeste
Eloá Pastor,1349.91,119,Médio,Sul
Luiz Felipe Monteiro,1378.49,84,Alto,Norte
Bruna da Mata,7680.12,150,Crítico,Centro
Mathias da Paz,4211.29,393,Alto,Oeste
Brenda Fernandes,285.88,15,Baixo,Centro
Manuela Rodrigues,603.08,5,Baixo,Leste
Davi Lucas Guerra,562.32,73,Baixo,Oeste
Lucas Nogueira,698.31,53,Médio,Sul
Sr. Thales Aragão,817.6,128,Médio,Oeste
Mariane Leão,391.19,25,Baixo,Leste
Otávio Lopes,1649.69,159,Médio,Sul
Dra. Eloah Marques,609.34,8,Baixo,Norte
Olivia Leão,520.08,26,Baixo,Norte
Sra. Aylla das Neves,2091.05,78,Alto,Leste
Cecília Porto,1398.83,44,Alto,Oeste
Sr. Benício Sousa,278.2,3,Baixo,Sul
Srta. Allana da Cruz,2456.94,259,Alto,Sul
Caio Azevedo,831.99,59,Médio,Centro
Joaquim Moreira,420.75,24,Baixo,Sul
Mateus Ferreira,1513.37,137,Médio,Oeste
Ágatha Teixeira,629.48,10,Baixo,Sul
Theo Duarte,7488.81,114,Crítico,Sul
Mariane Vasconcelos,618.95,3,Baixo,Leste
Sra. Maria Clara Souza,1441.06,298,Médio,Centro
Raul Costela,2066.0,111,Alto,Leste
Sr. Diogo Castro,4508.54,193,Alto,Oeste
Erick Martins,1346.15,85,Médio,Norte
Sr. Joaquim Cardoso,2316.75,49,Alto,Sul
Isabel Nunes,3333.07,95,Alto,Norte
Emanuelly Pacheco,2257.86,45,Médio,Oeste
Lorenzo Siqueira,5443.0,193,Crítico,Sul
Dr. Arthur Gabriel Souza,13822.7,308,Crítico,Centro
Ágatha Guerra,5133.03,426,Alto,Norte
Dr. Carlos Eduardo Cirino,582.44,51,Médio,Sul
Benício Novais,877.59,51,Alto,Oeste
Yuri Camargo,3109.29,125,Alto,Oeste
Cauã Silva,3216.7,142,Alto,Sul
Enrico Nogueira,11829.99,504,Crítico,Sul
Gustavo Costela,1902.42,146,Crítico,Centro
Joaquim Pimenta,3665.5,66,Alto,Oeste
Maria Luísa Peixoto,218.86,28,Baixo,Sul
Dra. Maria das Neves,8849.19,257,Crítico,Leste
Josué Vieira,1618.24,90,Médio,Leste
Marcelo Costa,3083.16,299,Alto,Norte
Ana Vitória Cavalcanti,2209.74,194,Alto,Sul
Luiz Fernando Costela,1272.15,35,Médio,Sul
Dr. Felipe Carvalho,3296.3,334,Alto,Leste
João Pedro Fogaça,519.39,10,Baixo,Norte
Benicio Moraes,877.07,4,Médio,Sul
Gael Fogaça,587.95,103,Baixo,Oeste
Rafael Ramos,11031.32,352,Crítico,Centro
Cecília Mendes,1557.32,73,Médio,Oeste
Noah Mendonça,2620.63,240,Alto,Oeste
Julia Dias,1773.72,81,Médio,Centro
Sophie Duarte,2386.82,114,Alto,Leste
Sra. Fernanda Cavalcanti,1801.26,253,Médio,Sul
Pedro Miguel Alves,1197.99,98,Médio,Leste
Heloísa Rocha,857.38,63,Médio,Leste
Joaquim Borges,726.39,264,Baixo,Norte
José Pedro Macedo,263.61,62,Baixo,Norte
Laís da Luz,550.88,81,Médio,Oeste
Luna Moreira,6153.67,252,Crítico,Centro
Emanuel Ribeiro,550.72,18,Médio,Leste
Liz Caldeira,1213.1,113,Alto,Sul
Dr. Asafe da Mota,2790.91,263,Alto,Centro
Agatha Machado,3506.24,137,Crítico,Norte
Zoe Guerra,5310.66,203,Crítico,Norte
Thomas Castro,589.65,7,Baixo,Leste
Ísis Rocha,1799.26,83,Médio,Norte
Antonella Vieira,3792.29,11,Alto,Norte
Sra. Joana Fogaça,10030.35,139,Crítico,Sul
Breno Cavalcante,473.42,99,Médio,Norte
Brayan Nogueira,2419.78,113,Alto,Oeste
Alana da Cruz,1242.87,150,Médio,Oeste
Dr. Caio Garcia,6343.19,52,Crítico,Oeste
Pietro Ferreira,4940.86,222,Crítico,Oeste
Stephany da Mata,3793.37,198,Alto,Oeste
Rael Guerra,841.23,56,Médio,Centro
Davi Miguel Brito,1207.4,134,Médio,Leste
Isis Rios,6884.78,200,Crítico,Centro
Bella Camargo,2904.41,100,Alto,Leste
Elisa da Conceição,266.42,6,Baixo,Centro
Guilherme Lima,1514.71,61,Médio,Norte
Rael Cavalcante,1685.38,181,Alto,Centro
Antonella Brito,2360.26,81,Alto,Sul
Dante Carvalho,3090.88,42,Alto,Leste
Enzo Gabriel Cunha,887.42,76,Médio,Centro
Francisco Costela,1575.93,76,Médio,Sul
Luiz Fernando Silveira,737.24,48,Médio,Norte
Lucca Aparecida,1652.13,134,Alto,Centro
Allana Albuquerque,701.0,89,Médio,Sul
Sra. Manuela da Cunha,12186.92,196,Crítico,Leste
Natália Sousa,866.78,24,Médio,Centro
Thiago Farias,2059.63,77,Médio,Sul
Heloisa Vasconcelos,1171.11,48,Médio,Leste
Srta. Ana Carolina Pacheco,745.79,106,Médio,Norte
Sr. Pedro Nascimento,1049.31,64,Médio,Norte
Ana Sophia da Rocha,258.39,117,Baixo,Norte
Rhavi Souza,1178.23,197,Alto,Oeste
Dra. Nicole Moraes,1380.06,22,Médio,Sul
Arthur Miguel Rocha,534.12,5,Baixo,Oeste
Miguel Câmara,2494.19,215,Alto,Centro
Melissa Montenegro,1951.39,96,Alto,Sul
Mirella da Rosa,2313.32,78,Alto,Leste
Srta. Allana Rocha,1433.76,124,Alto,Leste
Srta. Sophia Rodrigues,1663.78,75,Médio,Norte
Leonardo Fogaça,581.31,9,Baixo,Oeste
Cecília Pimenta,4238.89,189,Alto,Leste
Asafe Albuquerque,1012.89,5,Baixo,Leste
João Gabriel Pacheco,2464.73,193,Alto,Centro
João Felipe Borges,556.07,27,Baixo,Sul
Srta. Liz Silva,1232.44,279,Alto,Leste
Mirella Cardoso,488.06,24,Médio,Sul
Ana Sophia Souza,946.7,19,Baixo,Centro
Hellena Ramos,554.85,40,Médio,Oeste
Giovanna Nunes,2737.51,221,Alto,Centro
Alice Almeida,5823.93,281,Alto,Centro
Maria Alice Silva,2525.93,238,Alto,Centro
Sra. Rebeca Cardoso,392.38,70,Baixo,Sul
Dr. Raul Andrade,1262.47,100,Médio,Sul
Sra. Maysa Azevedo,1297.12,23,Alto,Oeste
Sr. Apollo Novaes,8777.94,255,Crítico,Sul
Marcelo Moura,3321.16,39,Alto,Leste
Bernardo Caldeira,5440.75,174,Crítico,Oeste
Benjamin Ramos,4311.16,187,Alto,Centro
Juliana Monteiro,896.5,17,Baixo,Oeste
Sra. Maria Julia Dias,11508.34,147,Crítico,Oeste
Gael Vieira,1334.31,48,Alto,Centro
Isaac Caldeira,2881.66,170,Alto,Sul
Valentina Ribeiro,2896.4,129,Alto,Leste
Alexia Rodrigues,3380.81,33,Crítico,Oeste
Arthur Gabriel Araújo,984.54,65,Médio,Oeste
Pedro Henrique Porto,1559.9,42,Médio,Sul
Felipe Rodrigues,1053.49,55,Médio,Oeste
Juliana Brito,15705.97,266,Crítico,Oeste
Srta. Luara Nunes,12620.77,262,Crítico,Oeste
Mariana Moura,384.01,68,Baixo,Oeste
Hellena da Rosa,249.32,14,Baixo,Oeste
Sra. Liz Santos,1905.89,192,Médio,Oeste
Dr. Asafe Mendes,401.1,13,Baixo,Oeste
Isabel Cavalcanti,2499.11,114,Alto,Oeste
João Guilherme Abreu,2621.76,109,Alto,Centro
Esther Castro,1321.4,52,Alto,Leste
Maria Costela,11305.68,299,Crítico,Leste
Bento Leão,316.75,7,Baixo,Norte
Mariana Gonçalves,534.2,25,Baixo,Leste
Dra. Eloah Viana,849.37,5,Baixo,Centro
Lorenzo Nascimento,3233.89,73,Alto,Norte
Esther Gomes,3310.69,41,Crítico,Sul
Sofia Silva,1076.8,52,Médio,Norte
Srta. Ana Júlia Barbosa,3958.11,44,Crítico,Leste
Ester Fonseca,1375.21,18,Médio,Leste
Aylla Duarte,915.83,11,Baixo,Norte
Bianca Viana,1294.2,129,Alto,Sul
Thiago das Neves,348.5,30,Baixo,Centro
Renan Campos,2252.58,16,Alto,Norte
